ID,Opened,Closed,Fixed version,Created version,,Days to fix,Open issues at closing,ClosedTimestamp,AllLabels
774,2009-06-02,2010-02-24,2_13_14,2.11.31,,24,1,1267050798,"Type-Defect, Regression, Priority-Critical, fixed_2_13_14"
784,2009-06-30,2010-01-07,2_13_11,2.11.22,,9,2,1262836182,"Type-Collision, Regression, Priority-Critical, fixed_2_13_11"
786,2009-07-02,2010-04-18,2_13_19,2.13.2?,,17,3,1271620851,"Type-Defect, Lyrics, Regression, Priority-Critical, fixed_2_13_19"
801,2009-07-15,2010-06-17,2_13_25,"after 2.10.33, before 2.13.3",,2,4,1276760068,"Type-Collision, Priority-Critical, Regression, fixed_2_13_25"
818,2009-07-18,2010-09-20,2_13_34,2.8.8,,5,5,1285021027,"Type-Defect, Priority-Critical, Patch, fixed_2_13_34"
821,2009-07-24,2010-01-21,2_13_12,After 2.10.33 ,,29,6,1264032907,"Type-Collision, Regression, Priority-Critical, fixed_2_13_12"
880,2009-10-29,2010-01-21,2_13_12,After 2.10.33 ,,24,7,1264032959,"Type-Collision, Regression, Priority-Critical, fixed_2_13_12"
881,2009-10-29,2010-05-27,2_13_22,2.11.20,,29,8,1274969085,"Type-Collision, Regression, Priority-Critical, Patch, Fixed_2_13_22"
883,2009-10-29,2010-01-07,2_13_11,After 2.10.33 ,,10,9,1262836173,"Type-Collision, Regression, Priority-Critical, fixed_2_13_11"
884,2009-10-29,2010-12-29,2_13_25,Before 2.13.6,,1,10,1293588389,"Type-Defect, Priority-Critical, Regression, fixed_2_13_25"
915,2009-11-30,2010-07-20,2_13_29,2.11.27,,19,11,1279585014,"Type-Defect, Regression, Priority-Critical, Patch, fixed_2_13_29"
917,2009-11-30,2010-04-20,2_13_19,After 2.12.2,,21,12,1271801101,"Type-Defect, Engraving-nitpick, Regression, Priority-Critical, fixed_2_13_19"
943,2009-12-20,2010-04-30,2_13_20,2.13.3,Existing regtest,10,13,1272597975,"Type-Defect, Regression, Priority-Critical, fixed_2_13_20"
974,2010-01-12,2010-04-20,2_13_19,2.13.1?,,8,12,1271805289,"Type-Collision, Regression, Priority-Critical, fixed_2_13_19"
